D                        T                        

0                        1                        
0,0529999993741512       0,942508732514133        
0,105999998748302        0,876469786979213        
0,20099999755621         0,814548159347248        
0,295999996364117        0,754530892920829        
0,483999989926815        0,690185509508974        
0,671999983489513        0,684790817132496        
0,859999977052212        0,631332511681451        
1,04799997061491         0,625189131108522        
1,23599996417761         0,556848536967263        
1,42399995774031         0,551129023378588        
1,61199995130301         0,487009356903598        
1,7999999448657          0,421206163254909        
1,9879999384284          0,41493184645919         
2,1759999319911          0,36381945339018         
2,3639999255538          0,306457457205235        
2,5519999191165          0,235986161567834        
2,7399999126792          0,178361676451654        
2,92799990624189         0,117141101334723        
3,11599989980459         0,0567586010757881       

