D                        T                        

0                        1                        
0,0529999993741512       0,953624921207763        
0,105999998748302        0,902108917263392        
0,20099999755621         0,850110129357961        
0,295999996364117        0,79725148187132         
0,483999989926815        0,740856968162966        
0,671999983489513        0,694353742206241        
0,859999977052212        0,643481034049323        
1,04799997061491         0,597720818070855        
1,23599996417761         0,545366020180154        
1,42399995774031         0,503472496153663        
1,61199995130301         0,453996830082401        
1,7999999448657          0,405885865594052        
1,9879999384284          0,354604981258537        
2,1759999319911          0,302486899731093        
2,3639999255538          0,24609238602274         
2,5519999191165          0,195277086433802        
2,7399999126792          0,143724982878254        
2,92799990624189         0,0979647668997868       
3,11599989980459         0,0463566703024086       

