D                        T                        

0                        1                        
0,0529999993741512       0,949319150993298        
0,105999998748302        0,889546204740484        
0,20099999755621         0,825776213802775        
0,295999996364117        0,770208483749546        
0,483999989926815        0,701866707861532        
0,671999983489513        0,696846064945501        
0,859999977052212        0,626220208714978        
1,04799997061491         0,621457817627351        
1,23599996417761         0,548145647417873        
1,42399995774031         0,542874010347402        
1,61199995130301         0,489271569995266        
1,7999999448657          0,436625465434572        
1,9879999384284          0,430015705728545        
2,1759999319911          0,373036316226301        
2,3639999255538          0,305672136595466        
2,5519999191165          0,244841034626366        
2,7399999126792          0,173822622599217        
2,92799990624189         0,123744120214665        
3,11599989980459         0,0537024739382761       

