D                        T                        

0                        1                        
0,0529999993741512       0,950520054228066        
0,105999998748302        0,894531431250864        
0,20099999755621         0,833669954935254        
0,295999996364117        0,775782229295961        
0,483999989926815        0,704742154164655        
0,671999983489513        0,699561078205494        
0,859999977052212        0,641083563120556        
1,04799997061491         0,635287889670474        
1,23599996417761         0,562643551594552        
1,42399995774031         0,556878518362219        
1,61199995130301         0,506974232897543        
1,7999999448657          0,438893827254682        
1,9879999384284          0,433852560024952        
2,1759999319911          0,368429767073201        
2,3639999255538          0,310786918004048        
2,5519999191165          0,244146633788068        
2,7399999126792          0,191621096219974        
2,92799990624189         0,122386166984377        
3,11599989980459         0,0627752687185525       

