D                        T                        

0                        1                        
0,0529999993741512       0,945695124820423        
0,105999998748302        0,893556266124455        
0,20099999755621         0,846161420040883        
0,295999996364117        0,80037223674614         
0,483999989926815        0,760659642822312        
0,671999983489513        0,715004302593814        
0,859999977052212        0,66664513753175         
1,04799997061491         0,613698223271533        
1,23599996417761         0,563531366304466        
1,42399995774031         0,508732331943033        
1,61199995130301         0,458306647087942        
1,7999999448657          0,40663486126118         
1,9879999384284          0,360945095463807        
2,1759999319911          0,306224373945449        
2,3639999255538          0,260283190254937        
2,5519999191165          0,208120506329389        
2,7399999126792          0,157938582651646        
2,92799990624189         0,10319012547551         
3,11599989980459         0,0539141622033894       

