D                        T                        

0                        1                        
0,0529999993741512       0,943166577101872        
0,105999998748302        0,872359346746238        
0,20099999755621         0,812198262282809        
0,295999996364117        0,753282154172299        
0,483999989926815        0,691608613230894        
0,671999983489513        0,686020189249193        
0,859999977052212        0,614448506863263        
1,04799997061491         0,609276567687227        
1,23599996417761         0,548485770115215        
1,42399995774031         0,541963168374861        
1,61199995130301         0,476018393578026        
1,7999999448657          0,404273294171845        
1,9879999384284          0,398177322276012        
2,1759999319911          0,346768830952611        
2,3639999255538          0,297384143262886        
2,5519999191165          0,243388804983399        
2,7399999126792          0,173986557712357        
2,92799990624189         0,12110155663918         
3,11599989980459         0,066082754342365        

