D                        T                        

0                        1                        
0,0529999993741512       0,946017665129513        
0,105999998748302        0,893525685548715        
0,20099999755621         0,82993619442176         
0,295999996364117        0,758318990678232        
0,483999989926815        0,697542221300579        
0,671999983489513        0,690688485547245        
0,859999977052212        0,626820211727601        
1,04799997061491         0,621544031182002        
1,23599996417761         0,56592598335285         
1,42399995774031         0,558865619080068        
1,61199995130301         0,494115243182861        
1,7999999448657          0,441654577023686        
1,9879999384284          0,434720326320431        
2,1759999319911          0,371001439548762        
2,3639999255538          0,304162907729926        
2,5519999191165          0,239795623727385        
2,7399999126792          0,179966782968093        
2,92799990624189         0,128379273514859        
3,11599989980459         0,0676477233345976       

