D                        T                        

0                        1                        
0,0529999993741512       0,952340883820357        
0,105999998748302        0,899311162556042        
0,20099999755621         0,858545500785794        
0,295999996364117        0,805382157986423        
0,483999989926815        0,759833159709989        
0,671999983489513        0,703459986695882        
0,859999977052212        0,666777553837556        
1,04799997061491         0,612905736565812        
1,23599996417761         0,563174028747503        
1,42399995774031         0,503365339059223        
1,61199995130301         0,450864932657761        
1,7999999448657          0,40002224130253         
1,9879999384284          0,344215213803315        
2,1759999319911          0,294704488278331        
2,3639999255538          0,248599472240916        
2,5519999191165          0,192602567840945        
2,7399999126792          0,154551562310982        
2,92799990624189         0,0967406340023948       
3,11599989980459         0,0463332085975025       

