D                        T                        

0                        1                        
0,0529999993741512       0,937342329308003        
0,105999998748302        0,888028527374026        
0,20099999755621         0,843669536684964        
0,295999996364117        0,800342782730847        
0,483999989926815        0,753542721932557        
0,671999983489513        0,719064550263241        
0,859999977052212        0,660272674008959        
1,04799997061491         0,598856626618787        
1,23599996417761         0,530421247052048        
1,42399995774031         0,485274056713919        
1,61199995130301         0,430875225805661        
1,7999999448657          0,380992403781965        
1,9879999384284          0,33641829347691         
2,1759999319911          0,296395704381224        
2,3639999255538          0,252050349879086        
2,5519999191165          0,217529061518107        
2,7399999126792          0,153654453491483        
2,92799990624189         0,113563666102341        
3,11599989980459         0,0478734794342144       

