D                        T                        

0                        1                        
0,0529999993741512       0,94104773232967         
0,105999998748302        0,88546081759253         
0,20099999755621         0,816142809520342        
0,295999996364117        0,763097943180697        
0,483999989926815        0,700536679738628        
0,671999983489513        0,693926991703673        
0,859999977052212        0,639650914809683        
1,04799997061491         0,630571407840688        
1,23599996417761         0,577325508018106        
1,42399995774031         0,569460030336435        
1,61199995130301         0,506661744974445        
1,7999999448657          0,448437989961811        
1,9879999384284          0,441164986195113        
2,1759999319911          0,37790910270574         
2,3639999255538          0,324572345575384        
2,5519999191165          0,255859973679488        
2,7399999126792          0,200446280126914        
2,92799990624189         0,12381757379102         
3,11599989980459         0,0659353658412723       

